DISTRICT,HISP,NH_WHITE,NH_BLACK,NH_ASIAN,NH_OTHER
0,169564.58153104904,36705.159869817384,60657.20920006324,3905.7926068492193,1656.8832369413008
1,41397.86345097144,49296.47081434283,170581.09024535323,682.9030469385367,3297.7292491932126
2,34109.03682833107,98244.0280662335,108489.37105624472,21057.512223859794,6638.27064113103
3,60031.864737046526,46339.30313422446,160045.00757843233,3082.8734012425116,2971.777217675692
4,50483.81542026769,166746.18414066473,32320.640554450096,36754.62012592243,8175.1137389458045
5,114091.96901286009,28622.994159307174,128371.61435949568,1088.447928756919,2354.608416361563
6,52400.45647227557,165640.48225149617,18141.51961113335,19107.122055574415,6046.542665877893
7,141740.1204256722,101226.55630705375,7435.225448493433,17989.18099688047,5105.155081088352
8,68758.59484417098,160030.49521237105,19530.501660068654,18239.833051707254,5300.840800556458
9,51750.69727735537,22958.326044489022,171472.82028626528,24360.71456226845,3791.0789522286955
