DISTRICT,HISP,NH_WHITE,NH_BLACK,NH_ASIAN,NH_OTHER
0,140353.14971261218,102991.72328510809,6278.080959492283,13077.976634097027,4272.832798807553
1,37402.45502533034,103147.36569099197,137733.7556114759,6387.24475918736,3501.4601609845836
2,114104.75382521388,28615.838307828017,127997.24840516076,1095.3961119340127,2279.314847177322
3,68981.8772061161,126249.14145398728,27660.26390774968,37703.53511446382,8356.91851499051
4,28093.837577504833,188948.9951359019,25779.284556305483,21938.9553670166,6572.587840991769
5,12532.284396236271,22247.927399156615,210112.22790022063,17093.442398821422,5365.747978289232
6,35505.179452219716,48937.36311468682,190401.6148244523,669.0544211843526,3448.299718465239
7,60448.433694719235,128064.47689330346,37419.793780461405,37966.72125325207,5478.243821905859
8,117342.44757899841,89902.0088492185,53005.52085461837,6430.881333194121,4405.711081446634
9,169564.58153104904,36705.159869817384,60657.20920006324,3905.7926068492193,1656.8832369413008
