DISTRICT,HISP,NH_WHITE,NH_BLACK,NH_ASIAN,NH_OTHER
0,10023.495925578212,2163.0431261335443,250982.28608954395,343.99678757773114,3592.1365785119165
1,138395.63384855964,91117.87247982589,35069.91050805088,6641.858140799095,4351.7945630444
2,48927.00377416804,121589.24636102098,42735.06993896977,37405.289786064444,8209.76665460025
3,86743.02707525178,72559.98454618466,121941.49321202478,1307.0017026698956,3182.892084128876
4,14325.676622530782,116692.09241926704,91804.76783758937,37250.968194677815,6249.18708322969
5,74366.19100640592,180501.1924109416,4051.1046110918023,16486.17001592274,5053.089365965629
6,82336.22746197534,24422.032934551044,157896.34230644387,2768.0745697566717,2775.120112228741
7,114914.61500290512,40522.08218322261,85277.59584827186,20591.057546763554,3514.0875473923375
8,166148.41827317225,32633.563309984464,76581.95112292835,1237.3825603520827,1690.1863095161327
9,48148.71100945289,193608.8902288682,10704.478525085393,22237.200695415966,6719.739701382029
